"radar","datetime","mtr","vid","vir","rtr","mt","rt","ff","dd","u","v","height"
"UNKNOWN",2025-01-01,0,0.2,2.36,0,0,0,0,90,0,0,380
"UNKNOWN",2025-01-01 00:10:00,0,0.64,7.388,0,0,0,0,90,0,0,825
"UNKNOWN",2025-01-01 00:20:00,0,1.08,11.814,0,0,0,0,90,0,0,433.333333333333
"UNKNOWN",2025-01-01 00:30:00,0,0.7,7.768,0,0,0,0,90,0,0,1242.85714285714
"UNKNOWN",2025-01-01 00:40:00,0,1.3,24.684,0,0,0,0,90,0,0,2287.69230769231
"UNKNOWN",2025-01-01 00:50:00,0,0.5,16.722,0,0,0,0,90,0,0,1092
"UNKNOWN",2025-01-01 01:00:00,0,0.24,17.028,0,0,0,0,90,0,0,1066.66666666667
"UNKNOWN",2025-01-01 01:10:00,0,0.96,14.08,0,0,0,0,90,0,0,1412.5
"UNKNOWN",2025-01-01 01:20:00,0,0.42,4.59,0,0,0,0,90,0,0,1280.95238095238
"UNKNOWN",2025-01-01 01:30:00,0,0.18,2.008,0,0,0,0,90,0,0,522.222222222222
"UNKNOWN",2025-01-01 01:40:00,0,0.42,4.956,0,0,0,0,90,0,0,1366.66666666667
"UNKNOWN",2025-01-01 01:50:00,0,0.56,26.238,0,0,0,0,90,0,0,385.714285714286
"UNKNOWN",2025-01-01 02:00:00,0,1.62,17.92,0,0,0,0,90,0,0,359.259259259259
"UNKNOWN",2025-01-01 02:10:00,0,0.66,12.904,0,0,0,0,90,0,0,978.787878787879
"UNKNOWN",2025-01-01 02:20:00,0,0.26,14.688,0,0,0,0,90,0,0,392.307692307692
"UNKNOWN",2025-01-01 02:30:00,0,1.16,20.814,0,0,0,0,90,0,0,434.48275862069
"UNKNOWN",2025-01-01 02:40:00,0,0.86,25.846,0,0,0,0,90,0,0,602.325581395349
"UNKNOWN",2025-01-01 02:50:00,0,1.52,26.646,0,0,0,0,90,0,0,510.526315789474
"UNKNOWN",2025-01-01 03:00:00,0,1,21.806,0,0,0,0,90,0,0,528
"UNKNOWN",2025-01-01 03:10:00,0,1.36,1.808,0,0,0,0,90,0,0,429.411764705882
"UNKNOWN",2025-01-01 03:20:00,0,1.12,0.408,0,0,0,0,90,0,0,385.714285714286
"UNKNOWN",2025-01-01 03:30:00,0,1.06,0.464,0,0,0,0,90,0,0,345.283018867925
"UNKNOWN",2025-01-01 03:40:00,0,0.98,11.004,0,0,0,0,90,0,0,324.489795918367
"UNKNOWN",2025-01-01 03:50:00,0,1.06,0.102,0,0,0,0,90,0,0,300
"UNKNOWN",2025-01-01 04:00:00,0,0.84,9.292,0,0,0,0,90,0,0,328.571428571429
"UNKNOWN",2025-01-01 04:10:00,0,1.1,47.224,0,0,0,0,90,0,0,300
"UNKNOWN",2025-01-01 04:20:00,0,2.5,31.036,0,0,0,0,90,0,0,335.2
"UNKNOWN",2025-01-01 04:30:00,0,1.04,20.396,0,0,0,0,90,0,0,300
"UNKNOWN",2025-01-01 04:40:00,0,0.58,17.504,0,0,0,0,90,0,0,665.51724137931
